,0
AKRIX,1.1631466730633102
EGFIX,0.8476752157935186
PWB,0.8655749779500265
MGK,0.8696431214065871
VIGRX,0.8503097852659157
PKW,0.8833969918775529
VFTNX,0.8276760905379011
SPHQ,0.8931095658422735
BIAFX,0.8163362880262477
VHIAX,0.6763206341927317
FTCS,0.7763286602493804
MEGBX,0.7242766151442878
SPX_index,0.7813322967489037
GTLLX,0.6785755985610947
AFDAX,0.7624519434747833
JPGSX,0.6993634059011257
DSI,0.766552321289059
POGAX,0.6600133895386261
GCEQX,0.7550263922326761
SUSA,0.7499927972158275
